treeNum trajNum nleaves height origin
1 0 142 39.4590356058 40.7781111206
2 2 158 45.0329512177 45.1116809853
3 3 165 33.0448742299 36.1228010675
4 5 138 33.5452803261 35.6978127449
5 6 144 33.6028994293 33.6614990241
6 8 164 42.2468604418 44.6141651813
7 11 153 33.9584050151 39.0698783968
8 12 157 37.6149338114 38.7712402136
9 20 153 33.0365698702 33.8861236159
10 22 143 32.5468981508 33.3136214655
11 24 158 38.9798046155 39.8141726102
12 25 135 37.6944038917 41.7538493974
13 26 153 34.1306727372 34.5665456906
14 28 144 37.468862042 46.2528675892
15 29 148 34.393487853 37.8560679709
16 30 151 32.9820720506 37.6384927105
17 31 173 42.822001366 44.0256439793
18 32 133 35.6373387073 39.2776944337
19 34 134 37.4534351907 37.8728155903
20 36 146 49.6378983405 49.7901772105
21 37 137 38.9411778152 39.3304621967
22 40 151 39.0228491492 39.2646306704
23 42 163 37.2033558345 37.545826483
24 44 164 56.8280827293 60.4613907416
25 45 134 41.8145572266 42.4607568009
26 47 157 43.2315244926 46.4567429078
27 49 156 41.601529336 42.2398839923
28 51 150 43.1095571022 43.4128525092
29 52 133 39.4747537659 39.493369201
30 54 153 44.2372732529 45.0327944997
31 60 169 39.2595158699 39.5973718345
32 63 149 41.7580361957 41.9812738027
33 67 143 48.5224154131 52.4930801135
34 69 163 30.7056316301 31.9795287664
35 70 153 40.3956831624 41.7686290028
36 71 138 33.9927989092 36.1537119484
37 75 159 32.1533165451 33.8340742062
38 77 160 47.6706035295 49.0965556176
39 78 126 38.3333769574 38.4284151753
40 79 142 28.6745547007 30.3467161395
41 80 148 53.7376533764 53.932784358
42 81 129 40.9426454604 41.3892332582
43 82 156 33.8906606582 34.6950094508
44 83 182 40.7613156841 40.8500320234
45 85 146 34.2903235452 38.4384843636
46 88 158 36.2697643755 38.8528620103
47 91 160 42.0858235338 42.2342241407
48 92 150 37.0933108908 37.228349816
49 93 148 36.4791404352 38.8102388816
50 94 134 39.416237826 40.88113977
51 96 136 27.5917903995 27.8913403562
52 100 141 37.0603865264 39.5370418887
53 101 125 32.7416570238 36.1261606218
54 103 161 35.4392589224 38.5592100645
55 106 148 37.1398884347 38.8739757767
56 107 151 41.2978454002 41.4586625494
57 108 153 35.2993923409 36.1579846028
58 113 155 39.5459558728 39.7776809619
59 114 166 36.5605572505 36.9519578483
60 115 130 34.7314929289 35.168851479
61 116 126 31.6425729448 32.7514284436
62 118 133 40.2442114752 40.2827693125
63 119 131 41.4283313836 42.5699536929
64 120 170 41.7055742985 41.8659622373
65 121 151 47.3615262092 47.4854060553
66 122 144 31.8902017334 32.396013067
67 123 167 39.5055295584 41.1633559684
68 124 134 31.4426042502 31.7786240512
69 125 152 33.2005667216 40.5106413737
70 127 145 35.9444992532 36.8452967214
71 128 172 49.1603004301 50.3655146345
72 129 161 38.2192566978 41.5711537031
73 130 149 57.1058647826 57.782963442
74 131 168 34.1421243322 34.4941728633
75 132 148 44.4836435915 46.9078498117
76 134 144 56.0997390804 56.5895564148
77 135 143 58.9008517897 60.1721351118
78 136 140 29.2032710592 30.8391868068
79 138 143 36.8559493656 37.1905521606
80 140 160 46.7356168453 49.1914317266
81 141 160 52.5894377294 56.7828106158
82 142 136 45.7474888928 48.8437421801
83 143 151 34.5219596489 35.4454334875
84 146 151 38.6349316482 40.0956747404
85 147 154 45.4729957865 47.7769002657
86 148 165 42.2686008521 44.22835057
87 149 144 45.8825874446 46.15177521
88 150 154 44.685459337 46.2353472371
89 155 141 32.7557632914 33.3723883372
90 156 147 47.0410215805 48.2745308358
91 157 154 44.2540223553 47.4044617414
92 160 161 41.9200098819 42.9472154902
93 162 145 35.2767528609 37.4913425173
94 164 153 32.6469255748 33.0744838352
95 165 167 35.831878812 36.8523641267
96 167 142 47.4313572479 47.5384499227
97 170 133 38.3918243981 39.7291043109
98 171 158 32.8701879859 33.4461401243
99 172 167 39.4908792417 39.7507367484
100 173 133 32.2163498775 32.3690803337
101 174 153 33.686381895 36.6640498417
102 177 147 35.1916459535 39.4675863208
103 178 148 48.2494923805 49.5829434037
104 181 155 48.1229443889 48.8917948813
105 182 148 48.9374521756 50.1650885654
106 183 159 32.3176379032 35.5221226453
107 184 156 33.7646607393 37.5980643328
108 185 145 39.3122508659 42.7929485559
109 186 160 39.630575088 41.4657650395
110 187 142 41.6789672738 45.4448307329
111 191 155 44.3429148274 45.0537502986
112 193 153 38.9482213975 45.0085482397
113 195 149 31.5518249505 32.1355335637
114 199 161 47.7820694195 48.5220449032
115 200 148 43.6086339178 44.2023066452
116 202 124 40.3880194769 41.3761982213
117 204 160 60.8476297015 61.8453425511
118 205 137 43.8365195295 43.8388300268
119 206 153 39.5351253944 40.2521679273
120 210 127 35.0937935467 36.3735690621
121 211 137 37.5603656531 39.594330559
122 218 148 28.6433945407 35.2894552741
123 219 144 38.2745299364 38.8178695533
124 221 156 44.0309999052 44.3211193896
125 222 142 37.4578496124 38.6811320702
126 224 145 44.7239098344 45.1350550834
127 226 137 38.1536678807 40.647004692
128 228 155 33.0676721132 38.0935353334
129 229 130 34.6818092699 35.3063043404
130 230 157 36.2347876149 38.2490163057
131 231 151 52.9898149824 55.0133076877
132 232 145 33.8584543648 33.9659234966
133 233 147 37.3507318118 38.8402979887
134 234 155 28.5790893985 33.3146210739
135 235 142 39.2021644682 40.5374016086
136 236 145 34.196580856 34.759826807
137 239 147 42.4036245622 43.3384375913
138 240 124 43.5367619845 44.1838207613
139 242 139 40.8121421761 43.5547491312
140 244 146 39.1535025724 39.4680084835
141 245 136 45.4566846796 47.5411262898
142 246 146 37.9236195798 38.8288181227
143 248 145 39.5988194641 40.5678876909
144 249 154 36.7819757778 38.0065583534
145 252 136 38.1391260217 38.6581102087
146 253 139 34.7357906482 35.9245236961
147 254 155 47.9428227866 49.837317885
148 255 162 30.9958647267 32.661351136
149 256 156 39.7746815532 40.8800449195
150 261 153 33.4043758562 34.2663441053
151 262 125 34.0996468209 34.4366114315
152 263 153 54.8885241268 55.4377018036
153 264 141 32.7957831967 34.9058443081
154 267 152 40.9899333142 44.9058811599
155 268 157 34.3131090838 36.7052643521
156 269 145 38.0983687801 38.4492790318
157 271 155 37.0789779583 37.0811830601
158 273 147 33.5633621209 35.7279116388
159 282 160 47.1340914836 50.1015707484
160 284 149 34.9978127634 36.1488527414
161 286 154 39.1970546759 39.9111462494
162 287 145 33.179763588 33.2478377966
163 289 154 31.7620262771 31.9407143952
164 290 145 31.9266128032 33.1774899296
165 291 142 34.836765957 36.9879712327
166 292 146 32.4453397421 32.5003700606
167 295 165 29.712792701 33.5993283325
168 296 155 41.8165851482 42.1512614845
169 297 148 36.305985798 36.3351833219
170 300 131 41.1053931451 41.1839089353
171 301 146 42.2532233372 44.582232387
172 302 163 56.4109642638 56.7134295641
173 303 143 36.4401390281 42.3755992405
174 305 157 35.7230998776 37.3162534204
175 307 162 35.1263938016 36.5790718096
176 308 135 28.0452584182 30.1756269079
177 309 153 39.2078434761 39.9881735028
178 311 152 34.3407913863 35.0378574999
179 312 174 34.4259839115 34.6132083516
180 313 158 40.765705016 41.1295853457
181 315 169 37.2501346097 39.5299155931
182 317 137 33.3842085152 37.5580402463
183 318 143 31.6120841913 31.7920207596
184 321 145 36.4005211007 36.5769166481
185 322 168 72.4620336369 75.9836781319
186 324 156 35.1989431095 35.8773525969
187 325 166 37.9003604327 44.2281254099
188 326 121 52.5478725772 53.5339836054
189 327 143 31.9344347838 32.6238169883
190 329 132 30.0263096484 30.0540352858
191 330 147 42.0965153027 42.8646856488
192 332 136 27.6532648971 28.6168922441
193 333 183 37.9016723061 37.9730899493
194 336 164 39.427510096 40.6800590539
195 337 146 41.5042538968 42.7848207588
196 338 147 37.7402948098 41.9612373748
197 339 139 31.9587724485 32.2695581227
198 341 153 34.9971012942 35.2032560866
199 342 131 40.0800050238 41.2851747124
200 345 157 34.5984519741 35.2736043003
201 346 141 54.8865986238 56.786615993
202 349 155 37.0825546658 37.9682702555
203 350 156 50.9300978179 50.9311998352
204 351 165 27.8907265918 28.4288881721
205 352 139 37.6563352511 37.6998102065
206 354 156 44.7361935034 45.6058936754
207 356 110 33.9083908393 34.3447241267
208 359 143 43.6502661969 49.5314963033
209 364 123 46.2002275342 47.3577678331
210 365 154 39.3544744211 41.7902690155
211 366 142 37.7585573425 37.919941634
212 367 165 48.3993403813 48.5105057463
213 369 146 53.411724861 55.7533347182
214 371 155 30.2008094932 33.5381150991
215 372 145 37.700342477 38.816845941
216 374 133 34.4224848068 36.9396989879
217 375 165 41.4379042397 41.4871257766
218 376 136 45.2496315376 47.5173815554
219 378 132 43.5890193224 49.1640970655
220 379 147 53.1892312038 54.6880937418
221 383 140 32.994554503 36.4138916006
222 384 154 35.477939173 36.9851677747
223 385 145 35.4101561719 36.1663591333
224 387 142 42.6515545449 42.6888118528
225 388 137 40.5355361265 41.4689757093
226 389 142 43.3771984515 46.1219987718
227 390 147 27.9305985304 29.3324651041
228 391 151 37.1321357839 38.8509527941
229 393 154 39.8898629264 42.9231913078
230 399 141 46.4949591132 47.264285094
231 400 136 35.1817125135 35.7517307328
232 401 155 36.049174196 36.6711371462
233 405 140 43.4164288945 45.16769173
234 406 126 28.5609506092 31.6085146557
235 408 157 44.8237780484 45.8825417204
236 410 147 32.2200874514 32.3865449591
237 411 141 36.376213997 38.3737033724
238 414 152 46.2708926895 46.8446623662
239 415 144 34.8205589533 37.2062654329
240 421 141 37.3938082602 38.6640070589
241 424 130 38.4853341526 38.5486137016
242 425 169 42.9938050418 46.1240149258
243 427 141 32.413750377 34.2426980926
244 428 153 40.6980596406 41.7839001422
245 429 130 32.4703413022 35.1827902248
246 432 140 42.0181405132 43.1417822523
247 433 141 48.2617515663 49.149966786
248 434 163 43.998464433 47.722356363
249 435 160 40.6980554623 41.6320686358
250 437 141 33.5420423179 35.0981728654
251 443 164 35.7453372514 37.7742860986
252 444 135 35.0245968561 35.3427422695
253 445 144 51.4821770581 54.9544602222
254 447 143 33.8559925713 35.3083428224
255 448 130 36.9251591278 36.9622434506
256 449 166 61.9419270226 62.3113441256
257 450 152 35.2509286443 36.8619035163
258 453 162 28.91365128 29.0941712012
259 454 159 39.2087983402 40.1559072466
260 455 149 40.0699000991 41.7889788682
261 460 136 46.6893459338 47.7689252591
262 461 153 45.4547064615 45.7984544649
263 462 153 35.0696595599 35.3086057337
264 465 160 33.9700321688 42.9104363517
265 467 139 35.8573426787 35.8942879786
266 471 137 38.0517659645 39.1528778859
267 474 138 31.3064826211 31.3461683995
268 475 145 42.5962742896 44.0880922056
269 476 144 30.415031041 31.753410891
270 477 126 45.8375713619 46.2400901667
271 478 158 43.4778858228 46.7735857191
272 479 131 40.7056335459 41.881547894
273 481 157 47.3028064453 47.7842761786
274 483 156 29.651405369 30.2056990742
275 484 134 37.4849813033 40.1936719968
276 485 155 38.5633980823 38.7810056556
277 486 161 35.8569328431 37.2392200112
278 490 153 42.6405214091 43.6693685416
279 492 166 46.4540897534 49.1800924685
280 493 159 51.8075408392 52.5342259512
281 494 148 35.2516185664 38.6484809827
282 497 125 39.5041268193 41.8249230437
283 498 138 46.1052697183 46.1366996231
284 500 124 32.7782960885 40.2761256058
285 504 171 42.0366583245 43.4041208018
286 505 166 35.4885711784 35.7385735509
287 507 132 49.7796794761 52.7167810428
288 516 151 36.4955234945 40.1043786538
289 517 150 41.0103172069 41.0523990998
290 520 154 51.7804393037 52.0543993671
291 522 152 27.3537546943 27.7253921195
292 523 150 34.0333754614 34.1387843264
293 525 149 43.7368637818 43.766251205
294 526 167 38.8609481135 40.5414437952
295 528 138 40.6257732432 41.0268749071
296 529 122 33.0054207371 34.7290811685
297 530 161 29.6083422377 35.345190194
298 534 140 37.6963053313 37.8232187496
299 535 149 36.8371293925 37.4565808902
300 536 153 38.1772267773 45.4718434256
301 539 161 34.4316733593 35.5362465406
302 540 135 34.737674531 37.1907398818
303 541 145 30.855811303 33.9173138362
304 542 150 40.4788041726 40.9278760604
305 543 150 34.8261529157 36.9306627404
306 544 132 36.8055661519 38.9870460743
307 545 133 31.3224641313 32.2782647635
308 546 159 40.4275543838 41.315560636
309 547 171 40.8041941269 42.7883985621
310 548 139 38.8117391933 44.8888829095
311 549 158 47.5123782435 48.2214640266
312 550 133 35.1253809628 35.4546554589
313 554 157 34.5520490352 35.3863844166
314 555 147 47.4958226035 52.4609450649
315 557 160 27.0127293669 27.26573619
316 558 151 28.0665595567 28.4292765238
317 561 164 34.0209801955 34.8544314046
318 564 179 35.2394723762 35.4884080562
319 568 152 40.8592408974 41.8549547362
320 573 132 37.9803819674 39.8725799124
321 574 144 41.1906546111 42.7480706954
322 577 158 52.2403878578 52.299678443
323 579 138 52.6483547871 52.9530355438
324 580 145 35.82346639 36.0553734501
325 581 163 42.480746515 42.5355877796
326 582 137 32.1362561178 35.4582193871
327 583 135 39.7580421155 41.4113633082
328 585 141 46.553224982 47.3398280716
329 586 144 55.044992156 56.7898572215
330 587 140 37.0905583164 37.7263047822
331 588 159 33.1935947718 37.3918572619
332 589 152 49.1035938702 51.4484711755
333 590 146 46.8362901485 49.2979969515
334 591 129 45.4759880137 50.0924833969
335 592 157 34.0272888702 34.8084944312
336 593 141 42.5530950226 43.3177577421
337 594 151 43.7159004008 43.9029994271
338 595 147 35.2514196759 35.469866197
339 596 151 29.8637996019 31.1536782982
340 597 142 51.0600037323 51.5307973513
341 598 158 30.0658412187 33.0946401836
342 599 146 33.0652995713 33.4424965465
343 601 162 61.9475455153 63.2179371566
344 602 131 45.8542303663 46.7511846488
345 603 124 35.4300071441 35.8231245982
346 604 134 39.2854550551 40.2306525337
347 605 133 36.2012071453 37.7581346311
348 609 151 48.3241459337 49.6829134895
349 610 146 32.6281022717 34.1346579276
350 613 140 35.82231626 41.7016196734
351 614 142 43.7350089921 48.3286088737
352 615 142 47.4334695857 49.4578629812
353 616 148 45.4120436231 45.780021694
354 621 124 35.1061148637 37.7029471774
355 622 139 43.199382148 43.4802230618
356 624 144 38.1994132466 42.2103547315
357 626 131 33.4130552864 34.2478837426
358 630 149 32.3034190075 33.4007392322
359 631 137 48.3419422786 48.6336993744
360 632 145 45.9448106465 46.6704103995
361 633 135 35.3292146131 36.1558205257
362 634 144 52.0037770163 57.0418072182
363 638 128 42.1659858706 42.3686078252
364 639 151 36.4171319732 38.5957327094
365 640 163 44.2871811511 45.4852411767
366 642 153 33.9857908417 34.7085219213
367 643 165 29.8542115809 37.3482150964
368 645 158 38.0998127717 40.2744040855
369 646 168 45.8903109761 50.2388144324
370 647 145 39.751394102 47.4254752494
371 648 170 32.1059705784 32.4024697584
372 650 164 42.7815993833 45.5970030352
373 651 158 42.6658841258 44.7410414513
374 655 154 31.8423067388 32.2595815807
375 656 172 30.5879037767 31.0893905302
376 657 145 33.5644030909 35.7725845661
377 658 134 57.8714925262 59.6803191
378 659 143 46.9747517965 49.0295254315
379 660 143 38.6421688955 39.1098810052
380 661 146 31.4904147959 32.8182055462
381 662 141 25.9377842468 28.1731630971
382 665 149 47.4557160892 48.1990095047
383 666 151 41.2944638465 41.4312949871
384 670 157 35.9859325107 40.3568255972
385 671 135 29.8246235058 32.7375012893
386 672 165 38.3158136759 39.6034177626
387 674 152 35.3480595933 35.879120295
388 675 157 39.9574462079 42.3390561393
389 679 153 32.2952650305 32.5529114244
390 680 160 37.5836651964 39.5668272693
391 682 148 32.1204241665 33.674007101
392 683 146 34.3762991349 36.687856072
393 684 140 42.479311302 42.7250249768
394 686 151 32.3724867942 34.9730414371
395 688 153 31.2397858832 38.6219566101
396 690 154 33.5209047884 36.6046959224
397 691 138 30.4686904273 32.5770423077
398 692 140 40.7371074554 41.5635931914
399 693 141 34.3680824639 35.3656145222
400 694 143 36.7879195597 37.9477695288
401 695 149 34.6456447234 35.3065366016
402 696 127 35.2820941498 37.3365606968
403 697 148 31.926828742 32.8189316024
404 699 142 37.7220707706 38.2712153437
405 700 137 35.1911926664 35.8844383319
406 702 159 30.4599383882 31.1562449992
407 704 156 39.5297951651 42.0000400637
408 706 141 43.3736628466 45.0782271558
409 708 148 46.5426670078 48.9344755616
410 710 147 41.0273531119 45.676725449
411 711 129 30.6670362028 32.5035107311
412 714 141 49.6189775555 53.6690743752
413 716 127 34.673734914 36.1360716487
414 717 149 30.6239927875 31.2179537627
415 721 139 45.6767376388 46.8367325597
416 722 136 39.2941362094 39.3845152457
417 724 153 31.8297099765 33.5849413293
418 725 146 36.5025765773 41.3112086906
419 726 161 35.9534344578 36.0881075345
420 727 154 39.7566583897 42.2162411212
421 728 165 49.2887871077 50.1668157187
422 730 149 32.1474614509 32.6301102413
423 738 135 44.7488656609 48.9589402751
424 740 163 37.6921713829 41.2546446288
425 741 158 39.6019152144 40.3199428356
426 742 154 36.2061274219 37.1534926246
427 743 151 35.6102062547 36.3351237839
428 744 132 44.2624044278 44.4094732342
429 745 164 38.8787235522 42.2381799008
430 749 166 34.8150411246 35.7649010972
431 750 162 32.7766385566 33.2174488092
432 751 151 39.4417310549 42.5329097866
433 752 147 40.6623960113 41.4566927975
434 753 141 34.3837087332 35.9829037935
435 755 146 45.2644582794 51.6895322356
436 756 143 35.9267948073 36.1624847832
437 758 139 33.396720228 37.1189019707
438 759 138 39.6042122381 40.0350296645
439 760 133 32.2400808363 33.8829099572
440 761 151 37.4312396809 39.8457147155
441 762 152 36.0383416157 40.7649451485
442 767 142 42.5111123345 42.7087442317
443 768 147 37.3319258491 38.129799412
444 769 151 37.5165011305 38.1866371955
445 771 156 33.6868083302 40.0276955776
446 773 152 35.3867127777 39.0868387096
447 775 142 36.8196729951 38.5349915108
448 776 163 43.2773001838 43.8273640567
449 778 158 38.969117299 39.3564469444
450 779 129 32.6447780867 36.2179097647
451 780 145 30.8952289164 31.9496638213
452 781 148 46.2190507693 46.6765430567
453 785 142 38.5074691695 43.5259725135
454 787 164 46.2961416628 47.6391474456
455 788 140 36.7895796468 37.2037386252
456 789 152 39.5805279432 39.6690941365
457 791 136 38.1080117835 40.6691733377
458 793 141 33.2854400438 35.3525441216
459 794 133 33.28844833 34.5049326989
460 795 140 38.5275306837 44.9767069428
461 796 165 36.293165469 37.0008456497
462 797 139 35.3673523683 41.0126755381
463 800 168 39.3011532011 42.0442901787
464 801 171 37.5007415186 38.8832179126
465 803 162 33.2483225801 39.7932225884
466 805 134 33.5898563769 35.4768025776
467 806 155 35.4589864762 35.7703591237
468 808 131 35.9106028445 36.7731571902
469 810 134 26.5790770243 28.6628710334
470 812 141 36.0334790855 38.6866625178
471 815 170 38.0808493274 38.1564565626
472 818 150 35.2845137562 35.8444246878
473 821 152 38.5543865606 38.7774016706
474 824 167 43.662378907 45.1329813101
475 825 144 40.1736340131 40.3613366036
476 828 139 50.753352493 51.2361536571
477 829 152 41.3393588632 43.4465096564
478 832 152 30.9564805 31.750003009
479 833 151 30.8275441132 31.9521486305
480 836 160 43.468941312 44.0872882296
481 837 119 54.9372470122 58.649189994
482 838 140 33.8585803242 35.8797578077
483 839 153 32.9834446484 34.1447924516
484 841 152 43.2780011485 43.3734126765
485 843 156 39.1650282177 40.1706470083
486 844 174 32.5640620696 33.2380794163
487 845 139 39.3490577424 43.3243774793
488 846 130 40.8099204099 41.8165974011
489 850 147 34.8859062386 35.4492681901
490 851 148 36.4830104046 36.7301962993
491 852 150 35.3033989867 37.9042825975
492 853 153 40.1934142659 40.5527238816
493 854 144 33.7445151408 42.4631791845
494 856 140 40.0149773014 43.7278298807
495 859 144 32.8598206634 33.5829416436
496 860 157 30.0524505523 35.2714322475
497 864 130 40.8549144742 42.2185252818
498 867 146 36.7845393213 36.9294007563
499 868 162 48.2013121383 53.4126729996
500 869 138 39.4254300894 39.6081144666
501 871 160 41.1003605332 41.4108647621
502 873 145 40.222781844 40.4055873039
503 874 153 39.2511569716 40.2313285459
504 876 157 40.7481979725 41.9617529283
505 880 148 33.6294096714 34.8825244593
506 881 158 30.4063392408 30.7701282334
507 882 143 44.5248494414 49.78426788
508 883 158 36.6054592915 37.1810402856
509 889 158 36.2738969069 39.3474278418
510 891 141 41.4751082932 43.54822242
511 892 138 46.325437887 48.4896064371
512 893 133 34.4030340966 34.6713636587
513 895 149 48.7980685222 49.3699132671
514 896 154 33.9576856366 35.6683553295
515 897 152 41.7522606567 42.880923325
516 898 137 32.3273823355 32.8995989299
517 899 140 33.7511730626 34.9566767023
518 904 131 44.4173732955 44.7360718537
519 905 132 40.7132524386 42.4322594981
520 906 162 34.5082820882 37.4438460036
521 908 141 40.5762468793 41.7312323913
