treeNum trajNum nleaves height origin
1 7 111 70.2967609535 70.7819559088
2 15 152 107.067207759 107.577920216
3 17 144 120.356063335 125.421226224
4 31 137 108.050075053 108.359527392
5 35 181 66.1700456246 75.0522465984
6 37 126 92.3269654295 94.9476156774
7 68 118 81.4015290406 81.6162974531
8 86 173 96.250154082 98.9996513986
9 88 112 114.800465319 114.925550096
10 96 106 67.7005330993 75.0215466763
11 108 123 78.1201911131 79.7978522663
12 126 196 77.7387004684 77.7588090594
13 148 154 63.9262147931 66.0115936981
14 175 107 92.1122902038 93.7036816845
15 194 107 100.730913357 103.024913007
16 196 128 49.7549702506 51.9784679441
17 219 155 79.2968034561 86.0211032688
18 236 137 79.528160563 81.8921799924
19 251 151 67.87166775 74.5335158992
20 257 102 79.2284469501 80.6501957534
21 258 131 80.0401404932 87.9633692973
22 263 140 95.722706366 96.4114869409
23 301 144 84.7381204834 85.8357279284
24 309 145 81.6382183748 81.952831133
25 330 166 109.510985035 109.791255939
26 335 134 73.8149857123 78.3884836673
27 380 127 69.1534529972 70.6608911089
28 388 112 102.825422595 103.468671829
29 454 117 66.4782142095 68.3982809375
30 464 149 111.108329287 111.524754423
31 474 163 50.5589373289 57.9117399271
32 477 148 79.8455040073 83.1508817162
33 519 131 84.8946897726 85.3632957914
34 522 101 60.1664384629 60.2183093552
35 547 130 82.2684778558 82.7303329969
36 555 133 66.9355169552 70.0622266175
37 567 105 39.9670995843 41.2006663563
38 581 141 72.4785050311 76.7928402801
39 583 146 72.2432474861 73.5032470823
40 588 104 61.8010551751 67.9531293281
41 606 108 83.8765626825 92.8810722559
42 629 104 49.3332558914 51.0771994163
43 635 117 77.26923815 84.7471751654
44 638 157 102.021046418 104.051263374
45 646 113 46.3859022211 46.5573906281
46 675 135 68.5705235826 69.1938362988
47 694 133 143.002853747 144.572091667
48 712 142 53.5372178966 53.8150208031
49 735 130 109.838694199 113.143847355
50 738 100 81.5288267564 83.2988775613
51 742 122 57.7710729754 57.8781152805
52 757 104 72.9766437861 74.2102551818
53 758 137 79.4164262238 80.9205140119
54 776 182 91.3910907661 93.5107312029
55 785 131 65.5267871445 68.3694639689
56 790 165 95.5309201954 97.7540625984
57 820 143 90.958516273 92.3758430643
58 926 162 81.9919806482 83.4023624518
59 927 181 103.108272605 105.044727201
60 941 108 83.1739497784 84.8758592528
61 951 116 62.2169068478 62.6954376408
62 1016 190 96.5689802932 109.656659444
63 1044 130 68.4000387949 70.7376407456
64 1082 117 61.4694209658 62.396356961
65 1086 170 86.3124498738 87.738234876
66 1109 158 60.399580061 60.5080059795
67 1124 127 77.3352824455 78.4370580961
68 1134 140 122.480816809 123.005618812
69 1153 159 90.3237831085 93.3814157996
70 1166 123 91.5158336555 92.2022475846
71 1208 123 54.3309497221 58.278167272
72 1209 115 61.1763033774 61.8614750328
73 1221 180 129.755313628 130.619174911
74 1231 110 62.913441666 63.8308506102
75 1249 118 80.3142916639 82.9743723946
76 1250 112 71.6622454242 81.3781196278
77 1253 177 66.6194413373 66.8140849553
78 1281 162 133.486342036 136.089693505
79 1310 134 74.2216906004 76.6283232083
80 1343 155 70.9148081852 73.5534814269
81 1402 173 99.0966123936 100.630565863
82 1410 121 50.1626088337 55.5404927527
83 1418 118 70.2804370803 76.1929037996
84 1437 142 75.2656907617 76.5148779004
85 1470 141 90.2101322074 91.6281561776
86 1490 132 89.4012011662 92.4235149464
87 1504 142 96.5304096604 98.1446078061
