treeNum trajNum nleaves height origin
1 0 188 62.6831611588 63.2725430192
2 7 172 70.5628233791 70.7366551382
3 17 318 93.8224232671 95.6122599082
4 19 199 48.5612243008 55.6738599219
5 20 282 80.1568907731 84.3879781627
6 29 352 101.822523869 101.927803713
7 32 304 142.775733957 143.033630996
8 40 230 128.136904047 129.662545975
9 44 237 86.6414483664 90.1309249129
10 46 316 86.4177622759 86.4640261626
11 48 261 106.591864685 108.861460626
12 51 223 50.4490329472 52.1046720968
13 76 317 75.9375277923 76.8156728583
14 97 444 62.4042576667 62.8818967794
15 98 342 60.1290697036 69.3257918657
16 104 299 45.8553495882 46.0205010422
17 108 266 58.4752080961 60.3221791688
18 110 269 94.253208346 95.1164404098
19 119 306 76.3779501507 77.5609817759
20 124 195 105.426423957 106.152043755
21 128 134 49.1185544573 56.0907603965
22 137 262 165.081929341 165.282743443
23 146 347 120.213299585 121.675438848
24 154 162 57.2956443465 60.6294817641
25 162 347 76.5757807062 77.6432917464
26 164 233 57.6994241304 59.1606473492
27 171 207 56.8295935267 57.0162160788
28 172 324 83.0864615697 84.0443745696
29 177 307 65.7367502154 65.771049751
30 186 323 126.683273357 127.557683878
31 194 311 81.3152338795 83.9126155833
32 197 200 86.0188335187 86.9388228427
33 204 351 115.495230405 121.222618645
34 205 317 91.6122723939 93.043370182
35 210 248 62.6911418303 65.1844013129
36 217 243 84.3125953739 90.2546992977
37 229 161 62.3244666944 63.0679173278
38 232 162 59.6963052057 64.7735097957
39 248 267 61.5204879958 61.7950513361
40 252 239 64.3639654709 65.9249149847
41 253 319 93.3605203347 95.5465318134
42 254 284 91.4386561738 92.556451638
43 257 273 136.436048646 138.345987372
44 262 164 72.0221723579 72.1104800049
45 268 257 82.2455667116 84.9287210695
46 270 263 101.393162592 102.454849555
47 298 263 69.6115715061 72.4685013246
48 300 303 95.9279220324 99.8449832607
49 311 167 83.2357079593 86.6157498529
50 327 323 86.0942793811 89.393356186
51 329 116 65.8153139497 67.8996668198
52 332 145 87.3384239839 87.4826269085
53 343 300 105.485326432 105.965663565
54 348 159 72.56118827 73.1054201377
55 354 287 67.7496108111 69.3862058364
56 365 174 70.5256241558 71.2457473841
57 381 153 79.9936148021 86.4481003535
58 384 349 93.2399388757 94.8362021717
59 389 297 115.585053389 115.968102093
60 390 233 119.071856829 121.684836758
61 393 264 92.6271502154 93.0836672045
62 406 167 69.9861983125 73.0271018363
63 417 260 64.2506889114 68.6143944155
64 419 336 64.7762787389 66.3104112548
65 424 239 84.6272076841 85.1421427027
66 426 288 76.4601435905 77.4168889915
