treeNum trajNum nleaves height origin
1 0 422 78.7724939137 79.4370658396
2 1 431 65.3739676199 67.4730039644
3 3 351 114.806423767 115.128801628
4 4 385 60.9791762988 61.1315880156
5 7 376 72.8833193118 74.1118525354
6 8 345 104.828190096 105.146173767
7 12 461 73.5686830262 73.6678760916
8 14 388 76.4947281152 76.7586905449
9 20 379 64.1506387425 67.7049460279
10 21 343 84.1336064184 84.1699200235
11 23 429 73.8478398049 76.4546009195
12 29 424 87.1186248541 88.149346231
13 30 300 87.1232844766 93.663558583
14 34 357 65.4970795484 68.5051867398
15 39 388 70.5162349545 73.1312871312
16 42 401 70.2758550748 74.7780132025
17 45 390 76.4346556829 80.0447869907
18 47 272 68.7280590431 72.2440225767
19 51 339 45.3153713028 46.1679022847
20 52 392 73.5835047535 74.5441635953
21 55 383 85.0631837722 87.9269528611
22 59 462 60.9524477382 64.3374230532
23 64 346 64.2730387845 67.7208928189
24 66 368 65.971942197 69.0233506478
25 77 377 86.0150341153 88.6413556776
26 79 428 71.6085055919 73.8336912231
27 85 335 68.6185692747 69.9449312459
28 89 328 94.4829537269 95.877044918
29 90 421 80.5154163291 80.9221444981
30 94 380 67.0154189101 68.3515542994
31 99 400 49.5003680132 49.6179505051
32 101 430 74.0943002002 78.1878971315
33 103 429 72.1456622359 73.084144525
34 110 411 79.2293323673 80.7494390487
35 112 357 67.9434092968 68.827416323
36 114 396 61.8850480084 62.042854734
37 121 353 64.5038502906 65.1718578039
38 122 367 94.658183943 96.9339659721
39 123 412 61.7105913391 62.225525918
40 124 411 120.536221602 122.018628484
41 127 398 92.2839781191 92.4783830657
42 129 398 80.3574835065 80.4581379809
43 132 423 57.384808566 61.031818186
44 139 380 77.7671329236 79.985128373
45 143 393 70.0968042304 70.1079631166
46 144 348 74.4012625716 74.8916583544
47 145 147 55.4397752167 63.0648176837
48 146 404 74.0669505498 75.7143473289
49 151 409 87.3272753664 95.3142559973
50 156 383 69.6667538683 69.7743407073
51 157 354 87.2223048818 89.882216892
52 159 378 85.3838708907 85.4422026225
53 162 392 71.523785879 71.6318890242
54 163 264 65.2277641394 65.2623059901
55 164 397 84.6208506358 84.8572028887
56 166 398 75.4015726814 79.7428271672
57 168 401 55.3195429576 56.3850894302
58 170 364 96.3618645416 97.5310486342
59 172 389 88.7583810107 89.396753003
60 178 365 73.7397201218 74.4618707448
61 182 383 81.9246189925 83.2420012855
62 185 312 66.4302932074 68.8186975365
63 194 462 91.0737471238 92.3389200071
64 202 452 69.3040205215 72.5635073117
65 203 423 95.904767702 100.274188622
66 205 353 89.9907902782 91.7763658725
67 206 349 75.1700200053 76.5828744956
68 207 412 75.7420163006 79.8506504856
69 210 360 90.0868589585 91.0198560004
70 212 438 55.3622712178 55.4248644233
71 214 404 61.120186797 61.4240376546
72 217 444 73.1965895303 78.2440319322
73 220 366 55.9572368049 56.5071574576
74 221 411 113.054759268 114.388328487
75 222 370 72.4962686655 76.1436113053
76 233 379 79.224820187 81.0569989841
77 237 395 84.7064818461 85.9860808539
78 245 402 71.6474027707 74.3971125258
79 246 341 44.8397860916 47.211054836
80 254 348 101.20512947 101.255374143
81 255 323 78.2539913191 79.2506732399
82 259 374 87.0820036909 88.0836094865
83 262 400 85.9968503098 86.0030840398
84 264 403 88.9253299966 90.7805566285
85 269 337 103.563075133 104.424414081
86 275 438 59.1197229672 60.6615991646
87 276 422 73.8578701966 79.6602479416
88 278 329 72.3344034824 72.3360709568
89 279 394 80.5326701855 82.7207428975
90 281 405 69.1778048698 69.4649190791
91 284 404 104.353081228 105.996643209
92 291 405 68.1010939109 68.497070171
93 292 425 68.4312796813 68.7560157066
94 294 398 70.3529220631 72.4822073541
95 298 430 60.8388536311 61.7184110462
96 301 443 72.3598972147 75.2885583894
97 302 394 68.9725291974 69.7584530822
98 310 418 55.6431849777 56.296558765
99 317 329 70.5241901754 70.578299902
100 321 396 52.5158348791 52.7663400465
101 327 336 71.8910448931 73.9157722207
102 329 429 93.3237093756 94.5046849494
103 331 274 55.9680114839 60.4315107909
104 344 468 63.0610546586 63.3484637093
105 345 454 86.6248724145 89.4078823745
106 348 400 71.6106759684 71.7561456241
107 350 353 87.5455405782 88.5915090956
108 351 411 70.4051024072 70.7211787078
109 355 379 51.7204011513 55.0458639065
110 356 312 70.8366665892 73.0427509124
111 357 386 68.2944842046 69.0052404159
112 359 420 72.7758782183 73.3669320839
113 362 448 56.9963681138 57.055591966
114 363 379 78.0067147801 78.348886386
115 372 324 121.445252033 122.571670143
116 373 380 47.2342834563 47.6882065106
117 387 328 80.6151523719 84.2823761869
118 388 375 65.1730951037 66.4161310308
119 390 364 82.6852599956 83.9334536908
120 397 454 67.5972996391 67.7118840343
121 398 420 90.0753395797 91.8366991048
122 402 409 60.2737012793 62.5019243457
123 403 328 66.9439799569 69.6354510371
124 406 428 94.1020906622 95.3606019915
125 408 398 88.1766459087 88.7718760131
126 411 423 67.7603491897 68.9215655441
127 415 363 91.9926792115 94.2638476699
128 423 392 101.508530978 103.188815051
129 426 366 69.7235606503 70.0493101256
130 428 377 59.5948455494 62.8900445943
131 429 361 82.1070514325 83.0212739262
132 432 425 78.2938932363 78.5094968113
133 433 423 86.2308927537 93.7999975029
134 434 425 87.9578809422 89.716197606
135 436 357 118.064879884 123.301837308
136 437 354 69.2515764258 70.4993954847
137 441 420 76.1040264057 76.2540731858
138 443 414 79.0558546191 80.1698810352
139 444 394 62.7816939218 63.5104276971
140 448 421 92.0580773858 92.9105370706
141 451 353 94.1950391637 95.5802636477
142 455 416 74.7369678054 75.3005348232
143 457 394 83.4211148655 85.957976255
144 458 418 76.0280138848 77.924890392
145 463 371 78.3982578983 78.9215622293
146 464 325 52.0755072557 52.2344199323
147 468 330 72.9367801026 73.3013015608
148 472 435 81.4187900037 82.5410928675
149 473 417 61.0216088416 61.4760646372
150 475 317 53.761075485 54.5745886377
151 476 385 58.8204053485 59.6519599905
152 477 424 72.5924815208 72.882115363
153 483 431 74.1284724946 74.6654461213
154 484 401 58.3793360998 59.1471881877
155 486 415 81.8691761225 82.5937236729
156 490 451 63.1195745072 63.964478383
157 491 377 79.3577121836 80.0160002526
158 492 273 93.3232440403 98.7925246977
159 495 388 65.8554568253 70.4167032455
160 500 365 78.227385385 80.779779924
161 501 383 59.0512577605 59.0894350888
162 508 415 77.8028986904 79.0423844893
163 510 372 97.074517429 98.9569336347
164 519 336 84.6379003065 85.8479963033
165 522 380 60.3866173509 60.5435177626
166 527 342 65.3342250729 65.5928384503
167 528 369 78.2816142043 78.4042662343
168 530 386 117.408694468 117.538163613
169 531 351 74.407584781 75.1772215167
170 533 344 55.5246950252 55.6444946008
171 535 392 61.6683623433 66.5295859771
172 542 376 60.2205913548 62.4894182933
173 543 365 94.6499843735 94.729131997
174 548 394 74.8333589593 79.3376471008
175 550 380 60.3251258377 61.343362673
176 554 409 58.6712271155 59.4168277392
177 555 293 126.974863608 127.082954874
178 565 427 69.2809090477 73.2820955007
179 569 378 83.9642087874 85.0809204415
180 574 387 69.8778459437 72.626590986
181 575 401 54.9358287893 57.1746778791
182 577 447 68.5666492324 69.5969148154
183 581 428 62.6393914374 62.9961073879
184 583 429 72.9764928446 77.8448563953
185 585 381 73.9138217108 74.3946277418
186 594 350 87.6534291044 90.6498070682
187 595 486 63.4103482796 63.8182683536
188 600 464 69.6203251371 70.8627936519
189 602 436 85.1387904783 87.7667384044
190 603 402 68.2487339098 70.0776159969
191 606 425 57.4040101019 57.7046174529
192 610 428 58.4511250085 59.5438394911
193 612 407 91.7465988677 92.1532494824
194 614 350 74.0434127224 74.0943980119
195 615 418 58.0511027329 58.9135573384
196 617 359 78.3893024812 78.5471083184
197 621 177 55.501782535 59.1230337467
198 626 437 56.6098965941 58.4548665571
199 630 337 133.07704386 134.719412625
200 631 393 123.416526076 123.711787159
201 632 403 79.2911324952 79.4036066943
202 635 393 69.8634775203 72.5714401847
203 639 364 88.532929253 90.8602952957
204 641 338 77.4540556523 78.5485006584
205 644 326 69.9472802445 73.3234785791
206 647 392 101.180033054 101.971943203
207 648 372 71.9911047313 73.5501011777
208 649 395 62.855916499 62.8762107688
209 654 406 82.0883869664 83.6394425571
210 658 433 94.3833073391 95.3476786034
211 659 428 78.2650034844 80.7233734935
212 673 429 85.5615390228 86.5329173067
213 676 427 76.0106124247 76.8517935022
214 682 439 48.0035997858 51.2966030973
215 684 268 64.7967243447 68.0893079385
216 691 403 48.9788406006 49.8751089385
217 693 343 84.6842962947 87.5905574546
218 698 393 107.467262302 107.476022905
219 700 352 78.2362222971 81.8873817484
220 709 404 57.1083393824 57.3061012138
221 715 446 71.9109177627 75.2617220973
222 723 361 72.409694374 72.622354356
223 726 404 75.6296074962 79.8889592717
224 729 413 48.878916356 49.8931435176
225 732 314 70.7948043423 73.2808036061
226 735 330 72.5341372418 75.561557242
227 736 405 45.5828825771 47.106209433
228 741 418 62.1422132265 63.2041040965
229 745 461 63.1529085976 64.0499290021
230 749 373 104.700817064 104.912369892
231 750 469 79.2135752018 85.1241905006
232 752 393 75.1064375994 77.7139664935
233 753 425 67.4352089044 67.8104967979
234 754 372 95.8016174035 97.1033613866
235 755 456 98.7334667212 98.8742327886
236 756 419 84.6661216038 87.7015355761
237 760 385 69.2930306865 72.7707967911
238 761 360 52.3050025935 53.3634091539
239 763 333 74.6441807488 74.7485345709
240 766 356 47.4332025365 48.1343361894
241 767 381 72.5087375736 75.1518650652
242 770 398 102.686334363 103.714114587
243 775 258 56.380194991 56.6989884639
244 776 364 96.4806006737 97.5669041701
245 778 378 77.9441059828 80.3895393639
246 784 358 97.582652968 97.761835361
247 785 367 91.8211231534 94.1579940371
248 787 324 72.1749684507 72.5188694791
249 792 381 74.3687747884 74.7690267534
250 793 320 106.411244068 108.179695157
251 799 472 72.8699763565 78.0681707473
252 800 354 80.6723464407 81.5807432867
253 801 400 68.9007716394 69.0870577092
254 804 366 87.7241621769 87.8038680171
255 805 408 74.490435347 74.5142264613
256 808 432 51.6744445775 52.73796521
257 809 354 95.3516768331 95.8973148056
258 814 425 62.4091440185 64.133779985
259 821 366 77.2330465928 77.2834525226
260 827 457 60.8550165503 61.062554864
261 833 339 62.3386076756 63.2312111789
262 834 344 106.772711155 113.12669445
263 837 424 64.9986344143 65.3721713783
