treeNum trajNum nleaves height origin
1 9 113 67.0865685766 71.0184699277
2 30 221 69.6095735313 70.7121555254
3 37 177 98.556206158 102.587439082
4 104 179 67.3676158766 70.4088451549
5 128 163 81.3037844608 88.4682513118
6 144 104 65.9489157206 66.3544000239
7 147 190 106.60256919 108.30560417
8 164 116 66.5997166577 67.1012582048
9 166 117 69.7220718291 71.8669118128
10 190 223 109.34342164 111.238405009
11 197 169 79.6367906568 79.7830799478
12 208 292 101.339104467 101.496127961
13 219 130 100.533315048 101.898756432
14 235 133 81.700552119 82.7386213589
15 251 225 59.4522085756 60.8139328513
16 280 143 91.6708841244 92.5040827804
17 300 230 70.6150270359 73.7587471117
18 303 108 41.3132074454 41.5658680178
19 319 138 88.7955196439 91.611235192
20 321 228 83.2494316778 84.2894916437
21 336 296 114.962482648 119.232692841
22 337 128 53.1101773266 53.4682918377
23 341 106 107.463917278 109.001043451
24 347 146 76.8978788064 76.983489206
25 371 121 56.7596854562 62.2397167571
26 376 216 74.2728343252 74.9852426077
27 379 110 42.45285625 42.5972415238
28 389 231 118.945020674 119.745263073
29 391 164 137.443134872 138.89632239
30 407 162 86.9142863711 89.4990192506
31 408 127 85.9122156004 87.0986885513
32 423 166 70.7071967653 74.1674688217
33 437 133 83.2999571328 84.2415182073
34 441 160 111.417144777 118.350946249
35 452 150 80.7828449703 81.7707996541
36 463 132 62.4227591924 66.1344362183
37 482 224 64.5275802183 66.1517390324
38 488 160 78.3787981054 80.2593334637
39 492 187 84.4861970062 84.7201424141
40 515 103 48.5847353007 52.0532067438
41 522 155 75.2438832488 77.0495216451
42 539 163 74.7598023848 77.5686447061
43 551 200 62.0969009647 63.2073984938
44 588 161 119.745073135 125.908166587
45 595 213 62.8353185737 64.9723901005
46 602 190 57.263959089 58.5256776208
47 609 254 124.140241554 126.187613202
48 634 235 56.5674908057 58.2292942355
49 638 124 68.0909004205 68.6156612764
50 650 174 85.4901377705 89.1442366543
51 659 147 91.1466353265 92.678424278
52 713 214 81.4553509975 86.3168950142
53 721 180 132.609245393 136.622881159
54 727 180 64.6333141911 71.9995663515
55 783 163 82.5275465235 88.3079143447
56 790 236 67.7249111275 71.2635699422
57 794 145 89.222337627 89.6430631633
58 796 108 56.9766128656 61.827853044
59 847 131 88.4463356808 89.0385971264
60 858 186 73.1018416755 74.3029097668
61 865 116 72.3035271067 72.9844816512
62 893 120 78.4109386444 79.3973584512
63 939 125 60.8443259018 61.2663390249
64 965 264 63.0761037634 67.1549909951
65 976 187 61.3669653983 62.8671833021
66 980 108 55.521686427 59.4935077642
67 995 201 55.6615519512 55.8896950163
68 1000 250 87.0562389029 87.2856768818
69 1008 179 94.347919139 96.1588022841
70 1034 162 73.5822113268 79.5121308686
71 1037 101 54.2271239417 57.5904436339
72 1045 154 98.9733126628 100.986428419
73 1072 259 85.087271212 85.2829462402
74 1095 135 61.1134455728 61.9741471077
75 1096 108 54.8552480096 55.0636902558
76 1109 278 83.5923973109 89.5718832514
77 1122 132 53.8568657617 61.9168343052
78 1151 157 80.7353752253 87.1860932578
79 1163 250 56.9607496994 60.3864178171
80 1164 158 76.9704236912 77.1584944207
81 1167 205 126.106872632 128.63880425
82 1184 234 119.702465325 123.572360021
83 1243 195 69.2381160041 72.333161318
84 1249 197 100.52116934 102.573065598
85 1251 190 66.7143412262 70.2383422569
86 1285 121 66.8302892102 68.1809918631
87 1293 140 84.0181844878 87.4085829045
88 1296 115 55.826903946 61.5986525793
89 1338 100 108.233329077 108.808589318
90 1342 241 79.1759810598 82.5697064704
91 1343 244 110.223121696 114.460710693
92 1357 117 68.3917551505 69.6623437414
93 1365 136 54.3053135742 59.218496105
94 1376 117 49.5608252952 50.9048233222
95 1402 168 42.2559472133 44.4066468952
96 1409 123 71.1302306263 71.7789855959
97 1424 123 48.2837542574 48.6366894499
98 1428 202 118.328469013 118.557411522
99 1438 163 105.184859427 105.710488787
100 1440 170 107.371723676 109.001048935
101 1459 318 105.77606018 112.293004289
102 1507 177 85.2229514938 86.7345281064
103 1511 277 69.3712616584 70.5271170632
104 1515 241 114.509450041 116.209345052
105 1519 284 57.6503507714 57.6688893721
106 1520 157 81.3698793877 83.5837241371
107 1528 105 80.1673876409 82.4743318652
108 1531 173 78.8016204758 81.9317832411
109 1534 134 85.9090553766 86.6811091444
110 1547 261 80.0198085176 80.8838666844
111 1561 190 49.6670877117 50.5936605988
112 1593 183 75.4774517786 75.6104966113
113 1620 158 98.1623848079 99.2857929777
114 1632 166 76.8072122333 79.3441894876
115 1635 124 87.0410667549 91.7275069258
116 1648 111 79.996936188 81.1052598631
117 1665 314 121.700356278 122.393782813
118 1669 231 84.346522403 84.6723060951
119 1675 117 103.441247219 103.745991519
120 1686 151 42.2252496296 44.1127256874
121 1691 253 110.45018502 113.305151174
122 1694 160 61.8800495635 68.7968044338
123 1699 103 111.971795075 112.680004805
124 1707 130 78.8211275286 78.8467001135
125 1722 177 45.2327063582 46.5936526091
126 1743 159 85.0076553115 85.893341967
127 1746 306 95.4930242325 96.9488987747
128 1787 148 83.64102325 85.1259530323
129 1795 112 59.0734126184 59.6477143117
130 1835 157 53.5692208737 53.9834729881
131 1859 214 82.7887030462 82.8086665271
132 1861 109 66.9826873174 68.6902990385
133 1862 193 92.1435946616 92.2780287954
134 1865 203 92.303087078 93.9685560073
135 1880 172 117.211320052 121.626972463
136 1888 181 60.3087956997 61.6003872919
137 1906 144 75.2764272379 77.4008588211
138 1914 131 100.821375793 104.039117345
139 1920 171 72.1552046833 72.4823573005
140 1945 167 93.1066028601 93.8910185491
141 1947 137 86.3504211107 88.7258648005
142 1956 140 88.6309096289 90.820377205
143 1962 134 48.3554496357 48.5992392276
144 1994 126 78.0819551218 78.1256749937
145 2041 164 56.4428974555 56.6235730397
146 2046 142 69.9524184693 74.289789261
147 2051 176 60.8406058668 61.4650609336
148 2053 140 68.3065465259 70.7230154349
149 2099 129 67.8764662842 68.8570436396
150 2101 122 59.5190122068 59.6440427661
151 2102 195 88.2195181893 89.0269756621
152 2104 278 69.0562866156 70.0399545782
153 2132 163 81.3272578492 81.9174176777
154 2133 148 84.2229858288 85.2033153477
155 2188 142 71.6965544247 72.0416143164
156 2192 199 86.2377192692 90.4382047928
157 2215 199 78.8778541207 78.9758843622
158 2230 144 76.4047945961 77.4519931898
159 2238 174 83.4336714444 83.7840958369
160 2239 185 104.678960947 112.576520414
161 2242 131 77.6200456485 77.8552256172
162 2248 162 100.422677283 104.924564017
163 2249 231 103.356157816 103.955170323
164 2255 143 76.6808062747 77.4493713464
165 2258 194 75.8202101415 76.112802948
166 2284 247 78.8797282483 79.1335102968
167 2291 162 98.0112684618 101.929850723
168 2296 107 64.7219035056 72.6020004563
169 2308 120 89.6196487518 90.0461749415
170 2309 188 79.9577354407 81.5004781045
171 2314 263 73.3605863834 74.325588689
172 2316 127 74.7646536702 74.788614975
173 2318 141 58.079433341 58.7477050845
174 2328 203 100.271491603 100.291275348
175 2334 121 48.3235903914 54.9786673807
176 2346 117 88.0242154409 89.9592419374
177 2375 143 62.8888967243 66.8669481222
178 2394 135 70.7186101098 71.431816998
179 2416 227 92.3446522092 95.6080168955
180 2422 103 59.919276779 60.1372084506
181 2445 176 56.8610229272 58.6018761177
182 2447 151 121.538584143 121.645444029
183 2451 113 75.1748444978 75.6245597891
184 2470 158 87.0155391986 91.2709002037
185 2471 222 84.4977187802 86.0125251227
186 2484 208 104.024818384 104.311652172
187 2490 157 57.1405040843 57.6763022714
188 2524 206 87.2621135779 89.3955884993
189 2538 144 75.2660573574 75.8801729727
190 2539 176 53.084205444 53.8147072966
191 2545 200 53.9840960308 57.3791054182
192 2573 252 116.034281473 116.203681827
193 2595 270 72.2658670228 72.4457617241
194 2599 165 84.926137873 86.2908748227
195 2608 178 61.1075441839 61.477617238
196 2613 178 83.9704888366 86.394767997
197 2635 170 70.7759166812 71.7808878391
198 2653 115 84.9447056194 85.4501034177
199 2668 142 95.5100229246 95.7729682878
200 2673 127 86.3991297239 89.9980118945
201 2684 140 68.2673723206 68.5302381093
202 2689 321 88.5577288063 89.9512746582
203 2691 214 154.770138592 157.59851098
204 2703 145 67.7059591238 82.4530206179
205 2712 136 77.653256303 78.2761744017
206 2721 237 72.7535467777 81.1319168458
207 2724 208 84.4184196598 89.7205437362
208 2736 134 103.622990747 105.005713188
209 2738 140 52.2696155716 57.7917323852
210 2760 197 88.0458827163 88.2037523865
211 2773 125 48.2604487357 56.050236802
212 2827 192 136.925030797 138.154088135
213 2839 156 58.4794653726 63.1177876788
214 2844 256 72.1065720633 74.2719633895
215 2864 196 82.6378733978 83.105057222
216 2865 177 78.8701588973 81.661893237
217 2902 122 65.1674767659 65.4226328658
218 2916 102 66.527140527 67.4167564783
219 2929 142 60.9134651212 62.0186871177
220 2945 205 97.0174381995 98.7318151161
221 2988 162 74.8551859561 76.9034540783
222 2999 170 94.1039811836 94.6758219167
223 3008 224 123.496211622 127.756253591
224 3013 107 79.1809560685 81.4534503239
225 3024 100 74.2011374163 74.7987438008
226 3038 197 96.396733723 97.0323821553
227 3041 232 69.6382936376 72.5397590312
228 3044 180 58.0398127145 59.7039513729
229 3051 268 66.6310922981 67.1919071957
230 3058 276 113.990372427 115.530764969
231 3063 282 170.163711517 172.228181736
232 3098 236 85.5045371088 88.8840270134
233 3113 247 69.7137264016 69.8016154387
234 3120 163 106.886179212 107.696167393
235 3123 187 69.9077410078 71.4966074716
236 3135 130 78.6567944116 81.3784938469
237 3157 264 95.6843855334 96.0878873472
238 3192 102 80.5760268058 81.9737312472
239 3199 119 100.868713442 101.362752085
240 3205 103 41.8710277562 46.4034052582
241 3206 172 93.6914323862 94.7377903737
242 3207 194 78.0231346928 78.1686142042
243 3236 106 66.7800234657 68.5566716372
244 3280 143 74.2233565698 76.1919665396
245 3284 181 78.8950180531 79.0368638656
246 3285 201 92.2540532405 95.0598939969
247 3292 157 78.959698405 80.0885463265
248 3297 211 70.8304391487 71.8113410393
249 3298 147 70.5247902237 78.1071751822
250 3303 168 56.3025680843 56.3161518942
251 3333 122 81.9119814552 81.9549169847
252 3349 161 119.305884718 119.525825042
253 3350 119 59.8378997708 61.8550761162
254 3360 133 92.334858342 94.3985076638
255 3379 217 115.078647101 115.961836958
256 3388 359 101.53073815 102.571727075
257 3393 143 89.5159483914 90.6433135481
258 3421 134 51.5563115828 61.6702315477
259 3433 203 82.4245277605 82.8178594676
260 3434 104 64.0807112997 65.3838266499
261 3435 196 96.2926218819 96.2999236493
262 3451 165 155.59066848 155.77586897
263 3455 217 86.0469001534 90.5458670517
264 3461 153 67.0940653262 69.9305797908
265 3469 144 59.0410795123 60.4480661275
266 3510 169 82.2727734914 83.8233482733
267 3529 143 54.0964612174 56.9270404085
268 3540 204 125.189840832 125.86115772
269 3543 163 90.1461945573 90.9767289425
270 3546 191 75.4511974416 77.7311096836
271 3551 145 43.7827516407 45.9750584857
272 3554 227 81.3150542167 83.9060994566
273 3555 111 60.0112332106 61.1451840722
274 3577 184 52.4036043879 52.7520605164
275 3579 160 83.7986674999 86.8716619787
276 3582 214 84.8649923119 85.8646749942
277 3583 103 66.4431978877 66.9397259918
278 3603 184 108.197578575 110.515346934
279 3604 200 109.726561664 110.251288376
280 3615 122 67.5091993897 69.6647094142
281 3618 115 79.3097458925 81.3020204417
282 3624 139 83.8682047107 88.934574219
283 3625 111 71.3011052249 71.3517998852
284 3640 128 44.7930057371 45.6473549071
285 3647 292 99.610914692 100.052075798
286 3652 194 87.1133223983 88.1581755851
287 3653 109 50.2436847499 52.865428943
288 3667 218 70.4827492198 71.4402893774
289 3681 269 129.104642297 130.932442726
290 3702 218 65.5592304771 69.6568956001
291 3734 185 82.8792663754 83.2078301374
292 3744 186 68.7945968985 75.9509805946
293 3767 165 84.8657497828 95.9320059755
294 3775 186 57.514863997 57.5844971632
295 3796 251 87.5457881166 87.8800055981
296 3806 114 58.3949861478 61.2414681519
297 3829 192 89.6812089751 90.9364171371
298 3844 248 72.9518637687 72.9542870077
299 3862 153 62.1818615122 62.6783732126
300 3868 295 98.746750487 99.5959704369
301 3909 146 49.9619983434 53.3625782492
302 3926 188 57.6480734864 59.1108142109
303 3970 237 96.7648255229 98.1621734184
304 3980 112 64.271136763 69.2344274955
305 3985 322 78.1590081332 78.227246937
