gamma	logP	ensemble_0	ensemble_1	ensemble_2	ensemble_3	ensemble_4	ensemble_5	ensemble_6	ensemble_7	ensemble_8	ensemble_9	ensembleSize_0	ensembleSize_1	ensembleSize_2	ensembleSize_3	ensembleSize_4	ensembleSize_5	ensembleSize_6	ensembleSize_7	ensembleSize_8	ensembleSize_9
0.1	-415.0699136906598	-417.4354051895207	-417.02581999282233	-416.3137002639825	-413.24743447537776	-418.44159034005304	-415.6053409596778	-415.947458064881	-414.45142749904585	-418.210184765768	-416.1076652660337	11549	11526	11451	11558	11591	11430	11506	11603	11607	11515
0.125	-414.0126073655744	-415.0265413160122	-414.351816648629	-414.945702505343	-412.65115658982626	-413.6935619685898	-415.5494430364141	-415.96239383256756	-413.7243012669495	-415.4816302881192	-413.72577662862295	12017	11990	11961	11962	11859	11988	12111	11929	11915	11988
0.15	-412.31331566443197	-412.97548640817473	-412.9926257539535	-412.58171655188454	-412.53554037923095	-412.7580315382877	-412.8680520773071	-411.2998587084974	-412.4092385093904	-413.0087910566301	-411.6031855328124	12455	12603	12434	12456	12545	12538	12527	12455	12454	12464
0.175	-410.4365504275405	-410.1571682005031	-410.6280289476335	-409.5315533248719	-411.33049155394247	-411.35421094841325	-410.8642524209266	-410.6721984192655	-410.59254411970596	-409.9158716742876	-410.962940672221	13050	12933	13028	13041	13074	13134	13011	13056	12976	13015
0.19999999999999998	-408.4261784720239	-408.38153069208585	-408.23521591267394	-408.492470554827	-409.3266912918	-408.8914517245387	-408.594360286761	-408.28294487580257	-408.2867688008403	-407.84272827800584	-408.60921409577554	13710	13705	13634	13503	13522	13639	13747	13521	13683	13596
0.22499999999999998	-407.52699125246636	-407.32079044658946	-407.45821560502264	-407.8592521142378	-407.7743863796877	-407.55602913141166	-407.4833171982282	-407.59627379626227	-407.1503196021944	-408.0412094457352	-407.34701092524625	14324	14321	14331	14348	14319	14246	14253	14263	14289	14059
0.24999999999999997	-406.26042557957715	-406.46267657347715	-406.51786833231466	-406.58106428650365	-406.0687126589711	-406.55059230589427	-405.87472985073845	-405.90063646512783	-406.20693904545044	-406.3239671160151	-406.4492944183029	15035	14912	15010	14810	15068	15036	15004	14936	15068	15027
0.27499999999999997	-405.1339733799762	-405.2017614130671	-405.2432972848596	-405.0165217502408	-404.92115214717865	-404.9521571152653	-405.2417158800407	-405.08913392872813	-405.3596279137036	-405.2198715427891	-405.18682910629605	15625	15869	15807	15649	15919	15847	15876	15814	15840	15671
0.3	-404.3164075577341	-404.2803867417256	-403.9739393435425	-404.638796766479	-404.1421838559046	-404.6639864926787	-404.1087403284642	-404.1928566915004	-404.4255786661212	-404.4021463914979	-404.59473782450385	16862	16468	16566	16430	16521	16648	16565	16590	16760	16568
0.325	-403.68042940550856	-403.63625947001105	-403.64011354399935	-403.71674238906905	-403.57690739000356	-403.5237701269721	-403.70442190212555	-403.6630970126179	-403.5401053800836	-403.94662176682823	-403.9548925571103	17530	17591	17675	17598	17568	17596	17658	17707	17385	17736
0.35000000000000003	-403.0490998198083	-403.2342919169181	-403.25368721340266	-403.1752829354624	-402.97230320994413	-403.0623697239605	-403.35728221815526	-403.0374611832236	-403.0977902083928	-402.8648990667391	-402.64046827402734	18516	18842	18582	18838	18622	18892	18606	18584	18713	18528
0.37500000000000006	-402.63501375631256	-402.7205106014547	-402.6503683502376	-402.57011649485776	-402.5916319216767	-402.79446899308886	-402.541489655417	-402.76199294775245	-402.5035185650236	-402.5219269875055	-402.746910484644	19969	20092	20066	19819	19909	19810	19939	19946	19747	20089
0.4000000000000001	-402.31386326580144	-402.33957971194235	-402.3250403660974	-402.48583877072855	-402.27033020911995	-402.25876864301716	-402.1451775157844	-402.198021075201	-402.41109675543834	-402.2998693711046	-402.45846669457825	21179	21174	21580	21203	21274	21265	21620	21371	21284	21241
0.4250000000000001	-402.0880898387274	-402.17478507342065	-401.9505811947335	-402.17798312378653	-402.2490010921742	-402.1754404855935	-402.1078472449107	-401.86605715796924	-402.00054817814345	-402.0510568502825	-402.1983332160876	23234	22876	22675	22882	22742	22913	22759	23133	22932	23062
0.4500000000000001	-402.0268383004903	-402.0243404284816	-402.0123010334667	-402.1705399712071	-401.970521731584	-401.93677222754474	-402.0005493588843	-402.1204613148891	-401.9412229692245	-402.0483253062162	-402.06855923280733	25089	24757	24770	24666	24848	24628	25082	24822	24758	24915
0.47500000000000014	-402.03719648052333	-402.1958049803447	-402.0877979526089	-401.91471700026244	-402.01946648800254	-402.1257646161717	-402.06966712398906	-401.96494514481117	-402.13222222885383	-401.9186010563757	-401.98427465507206	27295	26856	26741	26814	27060	26987	26886	27171	26639	27065
0.5000000000000001	-402.28995261254084	-402.32479138978294	-402.3492489793872	-402.31184111358425	-402.18122156139674	-402.34435320485	-402.2826739504181	-402.31657798520075	-402.2514553071344	-402.35938237535925	-402.19615058762776	29587	29168	29362	29355	29110	28797	29369	29607	29251	29167
0.5250000000000001	-402.62361738040636	-402.7549444695784	-402.511534032204	-402.4853690649386	-402.6388268858404	-402.6141829490319	-402.58725111434126	-402.5982242571806	-402.651473328442	-402.6836491230204	-402.7460101857219	32166	32501	32275	32461	32820	32612	32166	32196	32396	32286
0.5500000000000002	-402.93258797520895	-402.89736505308946	-402.87254413331436	-403.0577526300427	-402.8714864110301	-402.8065664332186	-403.2117303872574	-402.7747714622055	-402.91654109959916	-402.8655196533549	-403.14371294777186	35715	35705	35862	35530	35288	36253	36345	35908	35401	35228
0.5750000000000002	-403.49027953136334	-403.6957388153728	-403.39195449662657	-403.2851928269133	-403.64373181142827	-403.52772028157256	-403.5052083571263	-403.7281846017177	-403.2886678924792	-403.6228417048763	-403.34091181629157	40012	40009	40045	39632	40255	39900	40102	40596	39767	40223
0.6000000000000002	-404.0708693394789	-404.1917242875607	-403.9599785323667	-404.31854555352885	-403.9286577741726	-404.16686569037967	-403.8182032742087	-404.34101057051765	-403.87309839638357	-404.1610767887257	-404.0997686196051	44858	45178	45784	44849	45478	44390	44911	44554	45133	45203
0.6250000000000002	-404.6995517413458	-405.09962460099314	-404.27313054723646	-404.4728361221992	-404.9155375929945	-404.74099306538756	-405.091932641371	-404.6858971736343	-404.64991279135	-404.551991868358	-404.82823968318326	50992	51138	51040	51395	51527	50817	51156	51314	51683	51480
0.6500000000000002	-405.61723607747115	-405.51999141512414	-406.1533967920341	-404.8537618824418	-406.0952652729129	-406.2511720950731	-406.156580272481	-405.64080444989094	-406.0607733578558	-405.14122550691025	-405.43040936142853	59016	58469	58491	57905	59371	58420	58957	58019	58337	58762
0.6750000000000003	-406.93174419487246	-407.24544665109573	-407.1348690716243	-406.6162201779581	-406.2614283422549	-406.4556780352319	-407.3609305027878	-407.8803207138011	-406.87529616897314	-407.2748804315135	-407.27200905666757	68480	66904	67486	68011	68293	68889	69310	68573	67676	67302
0.7000000000000003	-407.26942876137264	-406.36067687293007	-406.98078276192507	-407.0075565906893	-408.07761180569656	-407.77482052048833	-407.145673583174	-406.8439134711996	-408.8876302279716	-407.55793508430475	-408.7561812022571	77995	79301	80717	78353	79867	79292	80183	80561	79854	79477
0.7250000000000003	-408.3762141350494	-409.5585381649245	-406.65313387417257	-409.65125545949144	-409.3237547014599	-409.4471220705076	-410.5571121676518	-409.05161748028877	-408.41024972376255	-409.37183009609197	-408.25937045883705	94611	93847	93214	93950	94769	94830	94104	94180	92607	93681
0.7500000000000003	-409.33710838212136	-410.09414988735296	-408.119789272657	-411.64237847506945	-408.2928711696759	-413.4576744127897	-409.2339723068316	-412.08043700730514	-411.4269145380568	-408.76496671406176	-411.40174959014325	113314	112219	111819	112146	110754	111790	112731	110883	113303	111578
0.7750000000000004	-411.14764685310274	-409.21758065094474	-412.87499212988354	-412.87352154960973	-413.0211182828722	-413.08888424446974	-411.49600160456157	-412.94653691607846	-411.91972955194416	-411.8666521028043	-411.59937442976246	133432	134558	135708	136146	132807	134686	133724	134865	134559	137277
